FAC_DET_REP,SITE_ADDRESS,Longitude,ID,EPA_REGISTRY_ID,SITE_CITY,SITE_ZIP,Latitude,CDR_SUB_CNT,Public_CDR_SUBMISSIONS_SITE_NAME,County-State
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110037061988,4745 380TH AVE,-93.671620475,1905.0,110037061988,JANESVILLE,56048,44.109253391,3.0,GUARDIAN ENERGY LLC,Waseca-MN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000462945,9700 BAYPORT BOULEVARD,-95.06012,1906.0,110000462945,PASADENA,77507-1406,29.616420001,3.0,GULF BAYPORT CHEMICALS LP,Harris-TX
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000619590,302 MIDWAY ROAD,-95.33697,1907.0,110000619590,FREEPORT,77541,28.955870001,25.0,GULF CHEMICAL AND METALLURGICAL FREEPORT,Brazoria-TX
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=,100 CROSSING BLVD,-71.48838,1908.0,,FRAMINGHAM,01702,42.294990001,2.0,GULF OIL LIMITED PARTNERSHIP,MIDDLESEX-MA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110038169273,7226 COUNTY ROAD 16,-97.899805308,1909.0,110038169273,BISHOP,78343,27.685540808,4.0,GULF PLAINS GAS PLANT,Nueces-TX
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110037886062,11999 PATE RD,-87.2231,1910.0,110037886062,PENSACOLA,32514,30.565680001,2.0,GULF POWER CO - PLANT CRIST,ESCAMBIA-FL
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=,7322 S.W. Freeway Suite 2000,-95.48872,1911.0,,Houston,77072,29.607760001,7.0,"Gulf Scientific, Inc",Harris-TX
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110021361943,3450 LABORE RD.,-93.05601,1912.0,110021361943,SAINT PAUL,55110,45.045920001,1.0,H  B  FULLER CO,Ramsey-MN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110041120710,2727  KINNEY RD. NW,-85.76807,1913.0,110041120710,GRAND RAPIDS,49544,43.014060001,1.0,H B  FULLER CO,Kent-MI
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110006835639,2333 FULLER WAY,-84.20472,1914.0,110006835639,TUCKER,30084,33.852500001,3.0,H B FULLER CO,Dekalb-GA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110002131292,3500 EXECUTIVE BLVD.,-96.651745376,1915.0,110002131292,MESQUITE,75149-2700,32.772851829,1.0,H B FULLER COMPANY,Dallas-TX
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110043805326,3581 WEST ENTRANCE ROAD,-80.161774482,1916.0,110043805326,HARTSVILLE,29550,34.40030943,1.0,H B ROBINSON POWER PLANT,Darlington-SC
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000409095,460 JAY STREET,-85.014988095,1917.0,110000409095,COLDWATER,49036-2112,41.929320953,1.0,H C STARCK INC,Branch-MI
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000316774,73 WELTON ST.,-72.895944,1918.0,110000316774,NEW HAVEN,06511,41.326644334,1.0,H KREVIT & CO INC,New Haven-CT
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000379956,5000 CHARTER OAK DR.,-88.68288,1919.0,110000379956,PADUCAH,42001-9194,37.098590001,3.0,H. B. FULLER CO.,McCracken-KY
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110018907101,1200 WILLOW LAKE BOULEVARD,-93.05296,1920.0,110018907101,ST. PAUL,55110-5101,45.046710001,2.0,H.B. FULLER,Ramsey-MN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=,45 Industrial Place,-71.21178,1921.0,,Newton,02461,42.309760001,24.0,H.C.Starck North American Trading LLC,Middlesex-MA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=PENDING,"Blachford Enterprises, Inc. 1400 Nuclear Drive",-88.2052,1922.0,PENDING,West Chicago,60185,41.898800001,10.0,"H.L. Blachford, Ltd.",DuPage-IL
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110012282234,630 OAKMONT LANE,-87.959307497,1923.0,110012282234,WESTMONT,60559-5548,41.820951591,5.0,HA INTERNATIONAL LLC,DuPage-IL
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000462883,10010 BAYPORT RD.,-95.05782,1924.0,110000462883,PASADENA,77507-1494,29.612250001,33.0,HALDOR TOPSOE INC,Harris-TX
