CNTYNAME,PSTL_CODE,YEAR,DATE_COL,ELEVATION,UID,SITE_ID,UNIQUE_ID,LAT_DD83,LON_DD83
Douglas,MO,2019,9/5/2019,238.03,2014581,NRS18_MO_RF006,NRS_MO-10174,36.869084,-92.470304
Wake,NC,2019,9/4/2019,73.46,2014582,NRS18_NC_10555,NRS_NC-10343,35.85316559,-78.72632168
Grant,SD,2019,9/4/2019,335.15,2014583,NRS18_SD_11594,NRS_SD-10600,45.15782035,-96.50603829
Escambia,AL,2019,9/4/2019,18.665,2014584,NRS18_AL_10006,NRS_AL-10034,31.08686327,-87.08175172
Allegany,MD,2019,9/5/2019,242.3,2014585,NRS18_MD_10006,NRS_MD-10052,39.44732403,-78.97642063
Emery,UT,2019,9/5/2019,1291.75,2014586,NRS18_UT_10396,NRS_UT-10384,38.89831374,-110.3699263
Carbon,MT,2019,9/5/2019,1183.06,2014587,NRS18_MT_11320,NRS_MT-10560,45.08548593,-109.0271572
Clackamas,OR,2019,9/5/2019,198.035,2014588,NRS18_OR_10010,NRS_OR-10476,45.39535438,-122.149373
Logan,KY,2019,9/5/2019,165.43,2014589,NRS18_KY_10025,NRS_KY-10103,36.68763019,-86.79188602
Florence,WI,2019,9/5/2019,342.95,2014590,NRS18_WI_10861,NRS_WI-10258,45.94750566,-88.21920144
St. Lawrence,NY,2019,9/8/2019,455.63,2014591,NRS18_NY_10284,NRS_NY-10212,44.39168643,-74.67485054
Grand Traverse,MI,2019,9/9/2019,191.94,2014592,NRS18_MI_10236,NRS_MI-10164,44.74158424,-85.64073472
Columbia,WI,2019,9/9/2019,235.88,2014593,NRS18_WI_10991,NRS_WI-10259,43.40987071,-89.54122976
Eagle,CO,2019,9/9/2019,2458.71,2014594,NRS18_CO_RF018,NRS_CO-10510,39.565669,-106.399405
Pottawatomie,KS,2019,9/9/2019,301.21,2014595,NRS18_KS_10049,NRS_KS-10046,39.25252179,-96.32659742
St. Lawrence,NY,2019,9/9/2019,131.07,2014596,NRS18_NY_10255,NRS_NY-10183,44.32237693,-75.4136353
Doniphan,KS,2019,9/9/2019,251.925,2014597,NRS18_KS_10002,NRS_KS-10035,39.87203961,-95.02724099
Warren,NJ,2019,9/9/2019,42.905,2014598,NRS18_NJ_10032,NRS_NJ-10039,40.67157283,-75.17844197
Harlan,NE,2019,9/9/2019,594.22,2014599,NRS18_NE_11149,NRS_NE-10242,40.01349581,-99.37044728
Idaho,ID,2019,8/26/2019,654.62,2014600,NRS18_ID_10014,NRS_ID-10210,45.38527554,-115.5332862
Teton,WY,2019,9/9/2019,2059.48,2014601,NRS18_WY_10995,NRS_WY-10528,44.64907011,-110.9576214
Gallatin,MT,2019,9/9/2019,2002.265,2014602,NRS18_MT_10079,NRS_MT-10324,44.69395966,-111.0906601
Park,MT,2019,9/7/2019,1551.02,2014603,NRS18_MT_10052,NRS_MT-10385,45.12654817,-110.8041464
Carbon,MT,2019,9/6/2019,1633.94,2014604,NRS18_MT_10084,NRS_MT-10330,45.30787313,-109.5258197
Lemhi,ID,2019,9/4/2019,1203.895,2014605,NRS18_ID_10013,NRS_ID-10205,44.83915163,-114.7851599
Winneshiek,IA,2019,9/10/2019,226.06,2014606,NRS18_IA_RF003,NRS_IA-10163,43.36702,-91.61832
Dawson,NE,2019,9/10/2019,704.85,2014607,NRS18_NE_10043,NRS_NE-10172,40.74129075,-99.51560166
Pierce,WI,2019,9/10/2019,205.74,2014608,NRS18_WI_10002,NRS_WI-10051,44.6867367,-92.69128721
Lewis,NY,2019,9/10/2019,474.67,2014609,NRS18_NY_10702,NRS_NY-10227,43.78230725,-75.14646536
Camden,NJ,2019,9/10/2019,0.125,2014610,NRS18_NJ_10003,NRS_NJ-10034,39.87754486,-75.13151153
Gloucester,NJ,2019,9/10/2019,-1.29,2014611,NRS18_NJ_10006,NRS_NJ-10057,39.83104753,-75.3484155
Eagle,CO,2019,9/10/2019,3147.41,2014612,NRS18_CO_RF019,NRS_CO-10511,39.3658,-106.45122
Franklin,AL,2019,9/10/2019,149.35,2014613,NRS18_AL_10031,NRS_AL-10051,34.50734375,-88.05036704
Lake,MI,2019,9/10/2019,203.95,2014614,NRS18_MI_10004,NRS_MI-10051,43.9306406,-86.02687062
Carroll,NH,2019,9/10/2019,191.85,2014615,NRS18_NH_RF002,NRS_NH-10139,43.786054,-71.207313
Moody,SD,2019,9/10/2019,472.7,2014616,NRS18_SD_10001,NRS_SD-10348,43.9054927,-96.48497479
Russell,VA,2019,9/10/2019,471.8,2014617,NRS18_VA_RF001,NRS_VA-10148,36.8909,-82.3285
Carbon,PA,2019,9/10/2019,273.26,2014618,NRS18_PA_10043,NRS_PA-10124,40.97809621,-75.73480962
Gallatin,MT,2019,9/10/2019,1914.97,2014619,NRS18_MT_10062,NRS_MT-10503,45.2646452,-111.3106917
Baltimore,MD,2019,9/10/2019,38.155,2014620,NRS18_MD_10009,NRS_MD-10054,39.26830308,-76.79422599
Le Flore,OK,2019,9/10/2019,117.26,2014621,NRS18_OK_10033,NRS_OK-10185,35.21244823,-94.54958161
Tehama,CA,2019,9/10/2019,247.13,2014622,NRS18_CA_10004,NRS_CA-10816,40.21900407,-121.9974197
Herkimer,NY,2019,9/11/2019,520.615,2014623,NRS18_NY_10028,NRS_NY-10093,43.7387301,-74.95859878
Pike,PA,2019,9/11/2019,133.0,2014624,NRS18_PA_10044,NRS_PA-10125,41.39961943,-74.73714352
Posey,IN,2019,9/11/2019,103.42,2014625,NRS18_IN_10032,NRS_IN-10095,37.89516044,-88.09551216
Allamakee,IA,2019,9/11/2019,236.87,2014626,NRS18_IA_RF002,NRS_IA-10162,43.37718,-91.39736
Grant,OR,2019,9/11/2019,713.61,2014627,NRS18_OR_10040,NRS_OR-10627,44.51549122,-119.6248102
Burlington,NJ,2019,9/11/2019,-1.16,2014628,NRS18_NJ_11233,NRS_NJ-10078,40.01542334,-75.03391151
Yazoo,MS,2019,9/11/2019,60.52,2014629,NRS18_MS_10010,NRS_MS-10137,32.84497866,-89.99038419
Russell,VA,2019,9/11/2019,474.59,2014630,NRS18_VA_RF002,NRS_VA-10149,36.95501,-82.1014
Summit,CO,2019,9/11/2019,3231.39,2014631,NRS18_CO_RF020,NRS_CO-10512,39.52723,-106.22111
Doniphan,KS,2019,9/17/2019,245.14,2014632,NRS18_KS_10009,NRS_KS-10039,39.72624414,-94.91122091
Franklin,KS,2019,9/11/2019,263.29,2014633,NRS18_KS_10113,NRS_KS-10262,38.61995291,-95.27727329
Park,MT,2019,9/11/2019,1556.475,2014634,NRS18_MT_10107,NRS_MT-10365,45.93953769,-110.5224726
Yankton,SD,2019,9/11/2019,349.98,2014635,NRS18_SD_10002,NRS_SD-10305,42.85420123,-97.28015814
Hamilton,NY,2019,9/12/2019,423.88,2014636,NRS18_NY_10279,NRS_NY-10207,43.47761388,-74.23156023
Meagher,MT,2019,9/12/2019,1479.58,2014637,NRS18_MT_10027,NRS_MT-10353,46.59422468,-111.0444186
Lycoming,PA,2019,9/12/2019,219.5,2014638,NRS18_PA_10024,NRS_PA-10095,41.45998297,-77.50980034
Frederick,MD,2019,9/12/2019,76.59,2014639,NRS18_MD_10018,NRS_MD-10082,39.46356445,-77.3875051
Aroostook,ME,2019,9/12/2019,149.325,2014640,NRS18_ME_10006,NRS_ME-10283,46.5760353,-68.08781271
Warren,NJ,2019,9/12/2019,66.93,2014641,NRS18_NJ_10020,NRS_NJ-10069,40.8128161,-75.09568382
Fulton,GA,2019,9/12/2019,211.57,2014642,NRS18_GA_10020,NRS_GA-10125,33.51300747,-84.82876669
Leavenworth,KS,2019,9/18/2019,223.89,2014643,NRS18_KS_10041,NRS_KS-10222,39.20750693,-94.81716042
Johnson,KS,2019,9/19/2019,228.22,2014644,NRS18_KS_10051,NRS_KS-10051,39.06027253,-94.84194972
Nash,NC,2019,9/12/2019,34.97,2014645,NRS18_NC_10346,NRS_NC-10277,36.07262634,-77.86767156
Otsego,NY,2019,9/13/2019,409.06,2014646,NRS18_NY_10283,NRS_NY-10211,42.81118871,-74.69352931
Chenango,NY,2019,9/13/2019,408.49,2014647,NRS18_NY_10286,NRS_NY-10214,42.69106154,-75.45007772
Aroostook,ME,2019,9/13/2019,128.53,2014648,NRS18_ME_10002,NRS_ME-10264,47.13182687,-67.89809741
Broome,NY,2019,9/15/2019,252.06,2014649,NRS18_NY_10091,NRS_NY-10116,42.10099288,-75.91593829
Greene,MS,2019,9/13/2019,34.98,2014650,NRS18_MS_10013,NRS_MS-10134,31.22618903,-88.7917482
Aroostook,ME,2019,9/15/2019,285.415,2014651,NRS18_ME_10001,NRS_ME-10271,46.9755638,-69.37838052
Broadwater,MT,2019,9/13/2019,1224.19,2014652,NRS18_MT_10048,NRS_MT-10381,45.99139005,-111.4634049
Mineral,MT,2019,9/15/2019,837.89,2014653,NRS18_MT_10002,NRS_MT-10276,47.06636464,-114.7698541
