,Unnamed: 0_x,CNTYNAME,PSTL_CODE,YEAR,DATE,ELEVATION,UID,SITE,UNIQUE,LAT_DD83,LON_DD83,PUBLICATION,VISIT,EPA,STATE,COMID,PROTOCOL,PCTCLINOMETER,REALM,SURVEY_YRS,County-State,Unnamed: 0_y, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,is_rising
1192,1573.0,York,ME,2019.0,7/24/2019,126.77,2014177.0,NRS18_ME_10193,NRS_ME-10326,43.62200793,-70.86188808,3/24/2021,1,Region_01,ME,9314071.0,WADEABLE,0.0,WADEABLE,1819.0,york-me,1012.0,23031.0,112.8,104.3,121.8,N/A ,4,15,132,stable,0.1,-0.8,0.9,0
1193,1600.0,York,ME,2019.0,7/25/2019,155.59,2014204.0,NRS18_ME_10008,NRS_ME-10298,43.76644418,-70.76903158,3/24/2021,1,Region_01,ME,9313025.0,WADEABLE,0.0,WADEABLE,1819.0,york-me,1012.0,23031.0,112.8,104.3,121.8,N/A ,4,15,132,stable,0.1,-0.8,0.9,0
1194,888.0,Clearwater,ID,2018.0,9/5/2018,577.81,2013446.0,NRS18_ID_10021,NRS_ID-10257,46.83680001,-115.4679038,3/24/2021,1,Region_10,ID,23623942.0,WADEABLE,100.0,WADEABLE,1819.0,clearwater-id,2031.0,16035.0,95.8,59,147.5,N/A ,1,35,4,stable,-0.2,-3.9,3.7,0
1195,1762.0,Clearwater,ID,2019.0,8/12/2019,305.82,2014371.0,NRS18_ID_10041,NRS_ID-10396,46.44126081,-116.2131745,3/24/2021,1,Region_10,ID,23606390.0,BOATABLE,0.0,BOATABLE,1819.0,clearwater-id,2031.0,16035.0,95.8,59,147.5,N/A ,1,35,4,stable,-0.2,-3.9,3.7,0
1196,889.0,Orange,NY,2018.0,9/6/2018,120.46,2013447.0,NRS18_NY_10021,NRS_NY-10092,41.2925655,-74.47550692,3/24/2021,1,Region_02,NY,6202726.0,WADEABLE,0.0,WADEABLE,1819.0,orange-ny,487.0,36071.0,123.9,117.5,130.5,N/A ,6,43,289,rising,0.9,0.4,1.4,1
1197,982.0,Orange,NY,2018.0,9/19/2018,112.76,2013540.0,NRS18_NY_10065,NRS_NY-10174,41.31781455,-74.47483104,3/24/2021,1,Region_02,NY,6202518.0,BOATABLE,0.0,BOATABLE,1819.0,orange-ny,487.0,36071.0,123.9,117.5,130.5,N/A ,6,43,289,rising,0.9,0.4,1.4,1
1198,1005.0,Orange,NY,2018.0,9/20/2018,120.46,2013563.0,NRS18_NY_10021,NRS_NY-10092,41.2925655,-74.47550692,3/24/2021,2,Region_02,NY,6202726.0,WADEABLE,0.0,WADEABLE,1819.0,orange-ny,487.0,36071.0,123.9,117.5,130.5,N/A ,6,43,289,rising,0.9,0.4,1.4,1
1199,1147.0,Orange,NY,2019.0,6/5/2019,142.95,2013707.0,NRS18_NY_10700,NRS_NY-10225,41.24631379,-74.16997129,3/24/2021,1,Region_02,NY,932030069.0,BOATABLE,0.0,BOATABLE,1819.0,orange-ny,487.0,36071.0,123.9,117.5,130.5,N/A ,6,43,289,rising,0.9,0.4,1.4,1
1200,1161.0,Orange,NY,2019.0,6/6/2019,153.0,2013721.0,NRS18_NY_10063,NRS_NY-10172,41.25327075,-74.37718333,3/24/2021,1,Region_02,NY,6202920.0,WADEABLE,0.0,WADEABLE,1819.0,orange-ny,487.0,36071.0,123.9,117.5,130.5,N/A ,6,43,289,rising,0.9,0.4,1.4,1
1201,1172.0,Orange,NY,2019.0,6/7/2019,135.06,2013732.0,NRS18_NY_10399,NRS_NY-10219,41.44438306,-74.38130514,3/24/2021,1,Region_02,NY,6201848.0,WADEABLE,0.0,WADEABLE,1819.0,orange-ny,487.0,36071.0,123.9,117.5,130.5,N/A ,6,43,289,rising,0.9,0.4,1.4,1
