,fips,recent_trend_cat,predictions
1735,31177,rising,1
1739,31185,stable,1
1757,33001,stable,2
1760,33007,stable,2
1761,33009,falling,2
1762,33011,stable,2
1763,33013,stable,2
1764,33015,stable,2
1768,34003,rising,1
1769,34005,rising,1
1770,34007,stable,1
1771,34009,stable,2
1773,34013,stable,1
1774,34015,stable,1
1775,34017,stable,1
1776,34019,stable,2
1777,34021,stable,2
1778,34023,stable,2
1779,34025,stable,2
1780,34027,stable,2
1782,34031,stable,2
1783,34033,stable,1
1784,34035,stable,2
1786,34039,stable,2
1787,34041,stable,2
1788,35001,stable,2
1791,35006,stable,2
1793,35009,stable,2
1795,35013,rising,1
1796,35015,stable,2
1797,35017,stable,2
1801,35025,stable,2
1805,35031,rising,1
1807,35035,falling,2
1810,35041,stable,2
1811,35043,stable,2
1812,35045,stable,2
1820,35061,stable,2
1821,36001,rising,1
1822,36003,stable,2
1825,36009,stable,2
1826,36011,stable,2
1827,36013,rising,1
1830,36019,rising,1
1832,36023,rising,1
1835,36029,stable,1
1836,36031,stable,2
1838,36035,stable,2
1839,36037,stable,2
1840,36039,stable,2
1842,36043,stable,1
1844,36047,stable,2
1845,36049,stable,2
1846,36051,stable,2
1848,36055,rising,1
1849,36057,stable,2
1850,36059,rising,1
1851,36061,stable,2
1852,36063,rising,1
1853,36065,stable,1
1854,36067,stable,2
1855,36069,rising,1
1856,36071,rising,1
1857,36073,rising,1
1858,36075,rising,1
1861,36081,rising,1
1863,36085,rising,1
1864,36087,stable,2
1865,36089,stable,2
1866,36091,rising,1
1867,36093,stable,2
1869,36097,stable,2
1870,36099,rising,1
1872,36103,rising,1
1875,36109,falling,2
1876,36111,stable,2
1877,36113,rising,1
1878,36115,rising,1
1879,36117,stable,1
1880,36119,stable,2
1882,36123,stable,2
1883,37001,stable,2
1888,37011,stable,2
1889,37013,stable,2
1890,37015,stable,2
1891,37017,stable,2
1892,37019,stable,2
1893,37021,stable,2
1894,37023,falling,2
1895,37025,stable,2
1896,37027,stable,2
1899,37033,stable,2
1900,37035,stable,2
1901,37037,stable,2
1905,37045,rising,2
1906,37047,stable,2
1907,37049,stable,2
1908,37051,stable,2
1911,37057,stable,2
1914,37063,stable,2
1915,37065,stable,2
1916,37067,stable,2
1917,37069,stable,2
1918,37071,stable,2
1921,37077,stable,2
1923,37081,stable,2
1924,37083,stable,2
1926,37087,stable,2
1927,37089,stable,2
1928,37091,stable,2
1929,37093,stable,2
1931,37097,rising,1
1933,37101,stable,2
1937,37109,stable,2
1938,37111,stable,2
1941,37117,stable,2
1942,37119,stable,2
1943,37121,stable,2
1946,37127,stable,2
1947,37129,stable,2
1948,37131,stable,2
1950,37135,stable,2
1953,37141,stable,2
1955,37145,rising,1
1956,37147,stable,2
1958,37151,stable,2
1959,37153,falling,2
1960,37155,stable,2
1961,37157,stable,2
1962,37159,stable,2
1963,37161,stable,2
1965,37165,stable,2
1967,37169,stable,2
1972,37179,rising,1
1973,37181,stable,2
1974,37183,stable,2
1975,37185,stable,2
1976,37187,stable,2
1978,37191,rising,1
1980,37195,stable,2
1982,37199,stable,2
1984,38003,stable,1
1991,38017,rising,1
2009,38053,stable,2
2010,38055,stable,2
2011,38057,stable,1
2012,38059,rising,1
2013,38061,stable,1
2016,38067,stable,2
2021,38077,stable,2
2027,38089,stable,2
2035,38105,stable,2
